Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000094964,00004-00002-00012-94964,00005-00008-64475,860947535-094964,559446604-094964,257945673-0094964,196796087-094964,1704300742-00094964,1421288376-094964,1172459949-0000094964
Component 00000000121197,00002-00006-00011-121197,00002-00004-00010-57782,2038733563-121197,1379762767-121197,720791971-0121197,143421015-121197,1290791348-00121197,472906413-121197,1212866039-0000121197
Component 00000000099473,00003-00003-00010-99473,00004-00002-00012-67209,1887859793-099473,1565388944-099473,1242918095-0099473,206667322-099473,1819021567-00099473,1441644570-099473,1066595539-0000099473
Component 00000000107173,00003-00003-00001-107173,00004-00004-00002-35739,256961715-107173,675848648-107173,1094735581-0107173,171883319-107173,224932301-00107173,1036181676-107173,635643471-0000107173
Component 00000000051084,00004-00005-00007-51084,00002-00004-71292,314727102-051084,1989824070-051084,1517437391-0051084,2100035111-051084,167001212-00051084,1262486627-051084,187884621-0000051084
Component 00000000050206,00001-00002-50206,00003-00004-46700,688857878-050206,238296883-050206,1935219535-0050206,1385227914-050206,1490549242-00050206,536766588-050206,1669517017-0000050206
Component 00000000057710,00002-00003-57710,00004-00004-00010-9734,1592641925-057710,2074043589-057710,407961606-0057710,1318302512-057710,1058777839-00057710,1077601680-057710,888921593-0000057710
Component 00000000009319,00004-00002-00011-9319,00001-00001-00002-13756,1094798782-009319,774946224-009319,455093666-0009319,614335248-009319,66114391-00009319,774261527-009319,319712361-0000009319
Component 00000000020973,00003-00001-00004-20973,00003-00001-00005-92968,1873286674-020973,1926534601-020973,1979782528-0020973,1234585663-020973,968346028-00020973,134219876-020973,2065264463-0000020973
Component 00000000089537,00002-00006-89537,00001-00003-00010-36046,1041788461-089537,797301908-089537,552815355-0089537,995350699-089537,70299817-00089537,43852152-089537,874112760-0000089537
Component 00000000074990,00006-00006-74990,00001-00004-00003-122931,1516258849-074990,2068541669-074990,473340842-0074990,384688208-074990,1918241402-00074990,108546798-074990,2012924522-0000074990
Component 00000000110848,00003-00003-00010-110848,00001-00005-00009-15076,1415545844-110848,849260039-110848,282974234-0110848,794229889-110848,1478175267-00110848,3630968-110848,1415670971-0000110848
Component 00000000022630,00006-00010-22630,00004-00003-00010-15844,970693256-022630,1101718874-022630,1232744492-0022630,882984788-022630,227856698-00022630,817471979-022630,2089294612-0000022630
Component 00000000083513,00003-00003-00001-83513,00004-00002-00007-114459,1075116937-083513,791435979-083513,507755021-0083513,201492356-083513,1619897146-00083513,343332835-083513,1113542902-0000083513
Component 00000000082597,00002-00004-00008-82597,00003-00002-00011-88853,1795899898-082597,1647213185-082597,1498526472-0082597,2100787082-082597,696737000-00082597,1101388615-082597,1179741913-0000082597
Component 00000000035424,00004-00004-00012-35424,00001-00006-3471,1766815031-035424,1709734837-035424,1652654643-0035424,1145909269-035424,1431310239-00035424,1174449366-035424,2127363960-0000035424
Component 00000000062035,00001-00012-62035,00003-00003-00006-98143,960629805-062035,360460793-062035,1907775428-0062035,1917203781-062035,623081547-00062035,69804640-062035,1382228966-0000062035
Component 00000000090155,00002-90155,00003-00006-00006-53423,205246028-090155,1864408802-090155,1376087929-0090155,1217745628-090155,1511866346-00090155,388164241-090155,1579471623-0000090155
Component 00000000073711,00001-00001-00001-73711,00004-00005-00008-87134,1205287943-073711,675262205-073711,145236467-0073711,1268843414-073711,1771488457-00073711,1533856283-073711,1751547794-0000073711
Component 00000000051964,00004-00003-00003-51964,00004-95914,426225247-051964,1793289448-051964,1012870002-0051964,1230587762-051964,837717698-00051964,1620797485-051964,926488875-0000051964
Component 00000000014134,00004-00001-00003-14134,25025,1316506391-014134,1112492804-014134,908479217-0014134,1085523833-014134,2105591768-00014134,113788803-014134,1503580873-0000014134
Component 00000000099739,00004-00003-00003-99739,00003-00004-00005-74638,237060068-099739,1032933091-099739,1828806114-0099739,1255937861-099739,1571540040-00099739,1931743173-099739,992387528-0000099739
Component 00000000080256,00001-00001-00007-80256,00002-00009-23305,1233258250-080256,414945928-080256,1744117253-0080256,199816279-080256,2143894242-00080256,608972440-080256,192618371-0000080256
Component 00000000057776,00001-00005-00004-57776,00003-00002-00012-11608,817886448-057776,1140349811-057776,1462813174-0057776,351232201-057776,886399033-00057776,1263742343-057776,368411477-0000057776
Component 00000000102942,00002-00008-102942,00002-00011-40805,1567562468-102942,1795156596-102942,2022750724-0102942,1868459441-102942,730488801-00102942,1754662377-102942,1653684947-0000102942
Component 00000000019021,00001-00002-00002-19021,00003-00007-38318,2093161498-019021,1085616890-019021,78072282-0019021,471888244-019021,1214643990-00019021,975660548-019021,142132226-0000019021
Component 00000000016652,00002-00006-00012-16652,00001-00001-00005-95516,764986057-016652,918159595-016652,1071333133-0016652,1751451709-016652,985584019-00016652,1674864940-016652,1734044513-0000016652
Component 00000000037522,00002-00002-00004-37522,00004-00008-62174,1769090565-037522,266803371-037522,911999824-0037522,1922605654-037522,844107036-00037522,526265604-037522,478181477-0000037522
Component 00000000040334,00004-00008-40334,00001-00002-00004-17411,1685935786-040334,754269713-040334,1970087287-0040334,523546009-040334,886909080-00040334,2063120869-040334,1563640361-0000040334
Component 00000000008450,00001-8450,00005-00002-112985,656090874-008450,1764296589-008450,725018657-0008450,1790718700-008450,544657419-00008450,162874019-008450,2117982049-0000008450
Component 00000000069686,00001-00001-00006-69686,00002-00004-97972,1555592513-069686,1860680600-069686,18285040-0069686,246237380-069686,868280592-00069686,1167435160-069686,1181656979-0000069686
Component 00000000058574,00004-00005-00009-58574,00002-00003-00006-33897,530938016-058574,558157103-058574,585376190-0058574,777321912-058574,641226477-00058574,1837454192-058574,1518894832-0000058574
Component 00000000081670,00001-00004-81670,00001-112645,254785266-081670,883599663-081670,1512414060-0081670,1761254286-081670,764665948-00081670,373105264-081670,177733032-0000081670
Component 00000000069998,00003-00005-00006-69998,00002-00005-106722,369056275-069998,1625471308-069998,734402694-0069998,101901436-069998,262277212-00069998,547435743-069998,1833818041-0000069998
Component 00000000025517,00002-00002-00011-25517,00003-00006-00002-96683,2062395656-025517,1484999218-025517,907602780-0025517,1975955824-025517,567970720-00025517,117170396-025517,1592915939-0000025517
Component 00000000073343,00003-00004-00010-73343,00004-00003-00006-76849,981479520-073343,1131984284-073343,1282489048-0073343,1838509633-073343,1085985813-00073343,1763257251-073343,2104733410-0000073343
Component 00000000027145,00006-00001-27145,00005-00010-18730,85422111-027145,1948084811-027145,1663263864-0027145,230249887-027145,1654354622-00027145,1446402184-027145,18475232-0000027145
Component 00000000051559,00004-00004-00001-51559,00001-00005-00008-84586,1890889948-051559,1837874639-051559,1784859330-0051559,393389285-051559,658465830-00051559,1493638763-051559,32215393-0000051559
Component 00000000064976,00001-00002-00002-64976,00006-00011-89620,1605307680-064976,1317153804-064976,1028999928-0064976,514746576-064976,1955515956-00064976,658823514-064976,127372554-0000064976
Component 00000000068103,00003-00009-68103,00003-00002-00009-53608,38340520-068103,609488880-068103,1180637240-0068103,1969232216-068103,1260974063-00068103,1683658036-068103,1544388515-0000068103
Component 00000000011391,00001-00002-00003-11391,00003-00001-71813,1022094616-011391,1265618497-011391,1509142378-0011391,1021842786-011391,1951707028-00011391,1973822669-011391,1398088711-0000011391
Component 00000000000448,00003-00006-448,00002-12467,132851230-000448,142546876-000448,152242522-0000448,603090061-000448,554611831-00000448,598242238-000448,639459724-0000000448
Component 00000000090167,00002-00012-90167,00001-00006-00002-53731,1283242841-090167,659001705-090167,34760569-0090167,1072318803-090167,2046040836-00090167,1384439371-090167,338853495-0000090167
Component 00000000118359,00004-00003-00007-118359,00004-00003-00010-101839,1432248364-118359,1620877429-118359,1809506494-0118359,917081605-118359,2121419927-00118359,1896508896-118359,184995132-0000118359
Component 00000000106975,00001-00011-106975,00001-00002-00004-30151,1121937022-106975,1404490768-106975,1687044514-0106975,1940891821-106975,528123091-00106975,1799614948-106975,995231486-0000106975
Component 00000000093058,00003-00004-93058,00002-00003-00006-11147,1620971503-093058,146029224-093058,818570592-0093058,2026973146-093058,811749953-00093058,1690702462-093058,994064684-0000093058
Component 00000000008414,00004-00003-8414,00002-00003-111972,457374016-008414,351928362-008414,246482708-0008414,1785710738-008414,165455361-00008414,1838433565-008414,595835177-0000008414
Component 00000000060232,00002-00004-00003-60232,00004-00003-00009-80349,1865656733-060232,330263650-060232,942354214-0060232,1487278029-060232,574308856-00060232,1181232747-060232,674225028-0000060232
Component 00000000047387,00002-00004-00002-47387,00004-00001-00010-91309,2137345033-047387,1126918068-047387,116491103-0047387,1450019288-047387,59703172-00047387,881490947-047387,1533493006-0000047387
Component 00000000104069,00004-00004-104069,00006-00007-72365,68242060-104069,489223146-104069,910204232-0104069,1158471908-104069,1201050125-00104069,947981365-104069,296796331-0000104069
Component 00000000036382,00002-00003-00008-36382,00004-00006-00010-30274,45455406-036382,551859854-036382,1058264302-0036382,983751017-036382,599212424-00036382,730548793-036382,955927380-0000036382
Component 00000000004065,00005-00009-4065,00002-00002-00002-113752,550902583-004065,328158284-004065,105413985-0004065,1558964140-004065,525201988-00004065,596594466-004065,1556600848-0000004065
Component 00000000023757,00002-00006-00006-23757,00001-00002-00008-47406,1653772401-023757,1647988854-023757,1642205307-0023757,299528548-023757,328446283-00023757,1376162145-023757,806147910-0000023757
Component 00000000069778,00003-00002-00007-69778,00001-00005-100581,499738502-069778,1691776903-069778,736331657-0069778,1405284305-069778,1887543241-00069778,1883006928-069778,1981122576-0000069778
Component 00000000066674,00004-00006-00010-66674,00003-00004-00009-13633,1113343245-066674,921016571-066674,728689897-0066674,375434144-066674,1337067514-00066674,471597481-066674,338703258-0000066674
Component 00000000046328,00003-00002-00009-46328,00003-00001-00002-61713,908329557-046328,220056339-046328,1679266768-0046328,1886816836-046328,1033215632-00046328,83469798-046328,1762569929-0000046328
Component 00000000032955,00006-32955,00004-00003-00007-57844,979449833-032955,1472412660-032955,1965375487-0032955,192085002-032955,2022238161-00032955,1019345412-032955,1935815882-0000032955
Component 00000000054240,00004-00004-54240,00004-00005-00012-36139,695030363-054240,602591144-054240,510151925-0054240,1580437359-054240,2042633454-00054240,552915145-054240,377842821-0000054240
Component 00000000019444,00004-00005-00009-19444,00002-00003-00009-50137,977088602-019444,16539063-019444,1203473171-0019444,561334371-019444,1069114772-00019444,2115350964-019444,896472704-0000019444
Component 00000000062558,00003-00006-00002-62558,00003-00006-00005-21923,1866330717-062558,942029419-062558,17728121-0062558,2134874351-062558,313929900-00062558,449541353-062558,844203042-0000062558
Component 00000000049614,00004-00005-00006-49614,00001-00002-00004-30151,415687332-049614,34358245-049614,1800512805-0049614,174837612-049614,2081483047-00049614,1439243979-049614,1518624267-0000049614
Component 00000000070736,00001-00001-00003-70736,00006-00009-3870,1930264009-070736,1570355767-070736,1210447525-0070736,1654583448-070736,1306641011-00070736,1834537569-070736,1716671853-0000070736
Component 00000000052541,00001-00006-00008-52541,00004-00003-00008-112094,965509610-052541,85596662-052541,1353167361-0052541,1239404572-052541,1344002018-00052541,1679361046-052541,12437319-0000052541
Component 00000000006765,00003-00005-6765,00002-00004-00004-65797,974862739-006765,1826164181-006765,529981976-0006765,1460793383-006765,1499253467-00006765,1035142662-006765,816409511-0000006765
Component 00000000033466,00001-00006-00004-33466,00002-00005-00006-72182,1244545160-033466,502514894-033466,1907968275-0033466,1763299258-033466,1178483294-00033466,2134314391-033466,869716516-0000033466
Component 00000000036187,00002-00004-00008-36187,00004-00010-24840,1949091766-036187,1543779325-036187,1138466884-0036187,545049377-036187,424127935-00036187,1821447421-036187,1837572569-0000036187
Component 00000000089715,00003-00002-89715,00001-00003-00010-41051,2120665759-089715,1550274123-089715,979882487-0089715,226475177-089715,930949710-00089715,511670995-089715,1119895353-0000089715
Component 00000000044104,00004-00004-00008-44104,00003-00001-00009-122963,59490272-044104,107300121-044104,155109970-0044104,1304526125-044104,1065476880-00044104,206879377-044104,1690966789-0000044104
Component 00000000098299,00004-00005-00006-98299,00002-00006-00007-34327,947848716-098299,264544953-098299,1728724837-0098299,1093612739-098299,215164260-00098299,361522797-098299,140213610-0000098299
