Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000112333,00003-00004-112333,00003-00006-00011-56678,1353968819-112333,1892236104-112333,283019742-0112333,616386554-112333,72533776-00112333,1420994735-112333,730569622-0000112333
Component 00000000065770,00005-00003-65770,00004-00005-00001-111879,513715520-065770,1483280802-065770,305362437-0065770,292991463-065770,1887615994-00065770,1955692469-065770,343966253-0000065770
Component 00000000109822,00002-00006-00011-109822,00003-00004-00007-109883,1253156371-109822,1771101202-109822,141562386-0109822,1677418734-109822,1235178226-00109822,344704495-109822,162655619-0000109822
Component 00000000057597,00002-00001-00007-57597,00002-00006-00007-6572,356873019-057597,1702339822-057597,900322978-0057597,113761731-057597,1976362304-00057597,514770153-057597,1130210108-0000057597
Component 00000000121564,00004-00002-00001-121564,00001-00001-00003-68006,4937692-121564,682268139-121564,1359598586-0121564,1716951490-121564,477782902-00121564,304544443-121564,976502745-0000121564
Component 00000000095674,00004-00005-00007-95674,00001-00005-00010-84341,1901022703-095674,352983982-095674,952428908-0095674,909330556-095674,59589573-00095674,609608093-095674,1999698877-0000095674
Component 00000000067720,00002-00003-67720,00002-00005-00009-42922,922618974-067720,818986847-067720,715354720-0067720,1265169932-067720,1783330567-00067720,243244172-067720,1437076580-0000067720
Component 00000000039704,00004-00002-39704,00004-00006-00003-123269,474001621-039704,646969200-039704,819936779-0039704,1346736438-039704,481898543-00039704,186510825-039704,906423369-0000039704
Component 00000000102440,00002-102440,00003-00003-00002-26743,498823648-102440,1019333903-102440,1539844158-0102440,1047509075-102440,592441447-00102440,1860995771-102440,1887071080-0000102440
Component 00000000016627,00002-00002-16627,00001-00010-94871,1154919475-016627,656749656-016627,158579837-0016627,1689745194-016627,2033110642-00016627,865088280-016627,872536434-0000016627
Component 00000000011008,00003-00004-00010-11008,00003-00007-61068,705907709-011008,868697219-011008,1031486729-0011008,11264356-011008,1344800453-00011008,2077353248-011008,402479472-0000011008
Component 00000000080281,00001-00005-00006-80281,00001-00001-24011,1107544866-080281,1059923482-080281,1012302098-0080281,945391389-080281,1183498309-00080281,969202081-080281,1126744965-0000080281
Component 00000000032015,00004-00009-32015,00004-00001-31564,533371328-032015,2104458317-032015,1528061659-0032015,495420826-032015,1229920469-00032015,783619155-032015,2064465726-0000032015
Component 00000000075086,00001-00004-00011-75086,00002-00006-2060,2054184344-075086,1614640603-075086,1175096862-0075086,1137407552-075086,1187642610-00075086,283437599-075086,1020603471-0000075086
Component 00000000041221,00001-00005-00011-41221,00002-00006-42217,2094536446-041221,1363655053-041221,632773660-0041221,2080269061-041221,1439708732-00041221,1371967934-041221,1349341484-0000041221
Component 00000000111683,00003-00005-111683,00003-00012-38440,1615632391-111683,859570035-111683,103507679-0111683,1453830124-111683,939174610-00111683,1831861302-111683,1025184225-0000111683
Component 00000000046016,00001-00005-00009-46016,00001-00004-00008-52931,671653972-046016,1381123139-046016,2090592306-0046016,1794912043-046016,395049855-00046016,366435636-046016,21098690-0000046016
Component 00000000044993,00003-00004-44993,00001-00005-00006-71181,1270957353-044993,1295394088-044993,1319830823-0044993,1382397177-044993,1260213502-00044993,296436986-044993,1132545116-0000044993
Component 00000000084416,00001-00003-00007-84416,00003-00003-00006-16243,623768194-084416,1219536736-084416,1815305278-0084416,1601255070-084416,769896007-00084416,1303370799-084416,1127028522-0000084416
Component 00000000046172,00002-00009-46172,00002-00004-00001-57292,1488787163-046172,794104419-046172,99421675-0046172,8928784-046172,1334858857-00046172,356270156-046172,894102628-0000046172
Component 00000000098916,00001-00006-00012-98916,00002-00001-00002-51612,1615933745-098916,551176902-098916,1633903706-0098916,441092564-098916,1469909485-00098916,2047212809-098916,1752919112-0000098916
Component 00000000088805,00003-00002-88805,00003-00007-15568,1232533786-088805,600563586-088805,2116077033-0088805,646750144-088805,1659117497-00088805,962735244-088805,394730109-0000088805
Component 00000000053558,00003-00001-00011-53558,00002-00004-00012-17042,745398217-053558,685562274-053558,625726331-0053558,1064580452-053558,1363760167-00053558,20756600-053558,1485312757-0000053558
Component 00000000058634,00004-00002-00004-58634,00002-00001-00010-35617,965418385-058634,93798775-058634,1369662812-0058634,1641540240-058634,1704670996-00058634,2077350045-058634,1925917459-0000058634
Component 00000000045704,00004-00001-00009-45704,00003-00001-44213,1097125176-045704,419788650-045704,1889935771-0045704,458558370-045704,1697757353-00045704,797226633-045704,906367686-0000045704
Component 00000000017956,00001-00001-00003-17956,00003-00005-00010-8538,1503836025-017956,2126877899-017956,602436126-0017956,1656595856-017956,688870133-00017956,1345074919-017956,1787233976-0000017956
Component 00000000051727,00002-00004-51727,00002-00005-89315,1380671018-051727,2005270384-051727,482386103-0051727,1608969211-051727,633456028-00051727,1296669528-051727,248402257-0000051727
Component 00000000063647,00002-00003-00012-63647,00002-00011-87787,933431153-063647,2084776215-063647,1088637630-0063647,939091838-063647,1624817469-00063647,363419307-063647,350566280-0000063647
Component 00000000020594,00004-00002-20594,00006-00007-82375,125301316-020594,1654955154-020594,1037125345-0020594,1299068461-020594,93250212-00020594,534241542-020594,1844061036-0000020594
Component 00000000113834,00004-00006-113834,00002-00005-00007-98677,1353717914-113834,526618824-113834,1847003381-0113834,2041601342-113834,1882129498-00113834,307667240-113834,408910213-0000113834
Component 00000000058130,00002-00007-58130,00004-00006-00009-21524,1249493247-058130,1994664759-058130,592352624-0058130,883089580-058130,1452199314-00058130,510503824-058130,1017960524-0000058130
Component 00000000021517,00002-00006-00002-21517,00001-00006-00001-108226,1964298401-021517,980723198-021517,2144631642-0021517,431799466-021517,1054708187-00021517,1997328891-021517,823501926-0000021517
Component 00000000085906,00001-00002-00002-85906,00004-00007-118489,1398177297-085906,278981917-085906,1307270184-0085906,804292542-085906,2105302148-00085906,1363890232-085906,1502541160-0000085906
Component 00000000111716,00001-00003-00007-111716,00003-00004-00003-39393,2103720194-111716,1540251346-111716,976782498-0111716,545284830-111716,1215145423-00111716,827019254-111716,724135173-0000111716
Component 00000000060551,00001-00001-00010-60551,00003-00005-00012-89283,1787848948-060551,349040713-060551,1057716125-0060551,1798868078-060551,402974665-00060551,1444530372-060551,1655124760-0000060551
Component 00000000013091,00001-00001-13091,00004-119340,75110727-013091,1947956044-013091,1673317714-0013091,1787537251-013091,1013245254-00013091,1924856416-013091,2077716074-0000013091
Component 00000000043199,00004-00002-43199,00002-00001-00011-97602,1324098505-043199,229970456-043199,1283326054-0043199,872237480-043199,2047910431-00043199,345559681-043199,1045391210-0000043199
Component 00000000085964,00004-00004-00008-85964,00004-00003-59595,2133386543-085964,1238458061-085964,343529579-0085964,1679028106-085964,1858703222-00085964,2126492347-085964,776133140-0000085964
Component 00000000073416,00001-00005-73416,00001-00005-78876,1046771221-073416,1074459408-073416,1102147595-0073416,1315906467-073416,1177465532-00073416,228320550-073416,1194337663-0000073416
Component 00000000048016,00001-00003-00007-48016,00002-00005-00005-108932,2020929671-048016,486337702-048016,1099229380-0048016,1681404996-048016,764430253-00048016,1374959157-048016,2108476415-0000048016
Component 00000000113433,00003-00005-00008-113433,00002-00008-87472,1588613334-113433,1942209505-113433,148322029-0113433,484416628-113433,863919420-00113433,1381360366-113433,562820359-0000113433
Component 00000000050629,00004-00005-00007-50629,00002-00009-69832,1374607072-050629,30531301-050629,833939177-0050629,1685183412-050629,1963111326-00050629,1283479474-050629,1465030588-0000050629
Component 00000000122484,00004-00005-00011-122484,00002-93795,983826005-122484,2044811313-122484,958312974-0122484,902005915-122484,2039530316-00122484,371513261-122484,527635054-0000122484
Component 00000000005253,00003-00003-00001-5253,00004-00005-00004-8454,79758159-005253,1923654949-005253,1620068092-0005253,1461922947-005253,832373585-00005253,539974552-005253,1093098868-0000005253
Component 00000000119847,00002-119847,00002-00005-00011-19927,1664664499-119847,1329617792-119847,994571085-0119847,1521026562-119847,1048776450-00119847,614808092-119847,1523974742-0000119847
Component 00000000117436,00001-00004-00007-117436,00001-00002-00009-38411,1410466391-117436,1027225231-117436,643984071-0117436,3139307-117436,1919345107-00117436,194759887-117436,1036118679-0000117436
Component 00000000097816,00001-00005-00004-97816,00004-00003-00010-20849,1180920773-097816,1771303450-097816,214202480-0097816,823451373-097816,19021635-00097816,1602001858-097816,1743051136-0000097816
Component 00000000063935,00004-00001-63935,60515,692439130-063935,1316974512-063935,1941509894-0063935,917634099-063935,2089924483-00063935,605366408-063935,1761724841-0000063935
Component 00000000020923,00003-00006-20923,1436259974,222234593-020923,771083210-020923,1319931827-0020923,2145330577-020923,1548571139-00020923,797164445-020923,1813039314-0000020923
Component 00000000084428,00003-00001-00006-84428,00002-00001-00011-16612,592401326-084428,836888341-084428,1081375356-0084428,638861495-084428,1563910067-00084428,1590359811-084428,824731356-0000084428
Component 00000000087772,00002-00006-00009-87772,00005-00006-110220,994657254-087772,1736534579-087772,330928257-0087772,1542227341-087772,2127808010-00087772,97546855-087772,2012813184-0000087772
Component 00000000048679,00004-00001-00007-48679,00001-00004-00005-3931,345260567-048679,894633819-048679,1444007071-0048679,1220059525-048679,620676912-00048679,945372899-048679,1713858525-0000048679
Component 00000000004235,00010-4235,00001-00001-00003-118511,158069005-004235,2014980924-004235,1724409196-0004235,1097725726-004235,403100719-00004235,1243011590-004235,956308999-0000004235
Component 00000000065526,00001-00006-00006-65526,00003-00005-00006-105033,950356153-065526,2133933577-065526,1170027354-0065526,371802748-065526,896366569-00065526,1927497683-065526,359615752-0000065526
Component 00000000082085,00003-00003-82085,00004-00004-00007-74484,29465945-082085,1969222402-082085,1761495212-0082085,692115465-082085,1730751415-00082085,795979060-082085,1171693342-0000082085
Component 00000000011584,00004-00006-00001-11584,00001-00004-00005-77186,541872700-011584,1125295670-011584,1708718640-0011584,920599334-011584,150968131-00011584,628887849-011584,959793849-0000011584
Component 00000000097059,00004-00004-00001-97059,00002-00005-00002-123177,1052018127-097059,1217390383-097059,1382762639-0097059,482637955-097059,1803260322-00097059,399951827-097059,938147314-0000097059
Component 00000000020558,00003-00006-00005-20558,00001-00002-00011-81391,1642571103-020558,1713502690-020558,1784434277-0020558,1861527602-020558,1506869667-00020558,752319985-020558,1826514188-0000020558
Component 00000000057873,00003-00004-00010-57873,00004-00003-14339,407986327-057873,1976334364-057873,1397198754-0057873,237196653-057873,985391056-00057873,526764458-057873,834300785-0000057873
Component 00000000068079,00004-00004-00011-68079,00003-00001-00001-52963,783892633-068079,223188597-068079,1809968208-0068079,1507034298-068079,15587184-00068079,1787386316-068079,307203115-0000068079
Component 00000000000473,00003-00004-00005-473,00004-00005-13174,1252169932-000473,239508481-000473,1374330677-0000473,456471616-000473,1224811577-00000473,2036544165-000473,417252312-0000000473
Component 00000000008585,00003-00005-8585,00001-00003-00012-116791,1668429328-008585,935086300-008585,201743272-0008585,461030822-008585,1980262315-00008585,827702336-008585,181890164-0000008585
Component 00000000076177,00002-00003-00010-76177,00002-00003-00007-32637,1077311726-076177,1309585227-076177,1541858728-0076177,531416466-076177,1517532608-00076177,1489021539-076177,796072930-0000076177
Component 00000000111398,00003-00001-111398,00003-00001-00012-30458,1389925336-111398,1057959524-111398,725993712-0111398,321968983-111398,1981798043-00111398,487951889-111398,2083879207-0000111398
Component 00000000112955,00003-00011-112955,00002-00007-74055,1042160495-112955,155276440-112955,1415876032-0112955,2051698591-112955,43667925-00112955,1421398795-112955,2086691764-0000112955
Component 00000000092170,00001-92170,00002-00004-00007-109792,2007930037-092170,1667881831-092170,1327833625-0092170,547977575-092170,100734958-00092170,718001678-092170,1666339694-0000092170
Component 00000000069970,00005-00004-69970,00004-00002-00004-105954,710160502-069970,386186515-069970,62212528-0069970,1103549485-069970,575935773-00069970,191794655-069970,1353075922-0000069970
Component 00000000082566,00001-00001-00003-82566,00003-00001-00005-87963,1380256233-082566,1458521264-082566,1536786295-0082566,1954884766-082566,1563559611-00082566,842010427-082566,616569364-0000082566
Component 00000000013263,00003-00005-00003-13263,00002-00005-00001-677,1494433135-013263,683466677-013263,2019983866-0013263,817265568-013263,577130564-00013263,1222748797-013263,156586663-0000013263
