Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000094550,00001-00001-94550,00001-00004-00008-52931,1444945893-094550,21712060-094550,745961874-0094550,63839873-094550,737558097-00094550,1849198613-094550,748868394-0000094550
Component 00000000008944,00004-00005-8944,00001-00001-00006-3256,1819904827-008944,1821177468-008944,1822450109-0008944,807886092-008944,801522887-00008944,1880991595-008944,659824884-0000008944
Component 00000000112324,00004-00002-00004-112324,00001-00002-00007-56401,116536154-112324,1783282055-112324,1302544309-0112324,423075590-112324,679280673-00112324,663444463-112324,441849572-0000112324
Component 00000000069195,00009-69195,00003-00003-00008-84248,1739257895-069195,853156071-069195,2114537894-0069195,1712992371-069195,1848534197-00069195,8559636-069195,2131376495-0000069195
Component 00000000116025,116025,00002-00012-36477,1975356515-116025,1827639768-116025,1679923021-0116025,179803403-116025,918387138-00116025,1327403600-116025,1390731701-0000116025
Component 00000000040988,00003-00003-00012-40988,00004-00002-00011-35709,158084069-040988,321915718-040988,485747367-0040988,587726281-040988,1916051683-00040988,1579552280-040988,1521966418-0000040988
Component 00000000121013,00003-00004-00009-121013,00004-00003-00009-52594,1798399149-121013,950785744-121013,103172339-0121013,417596476-121013,360696207-00121013,1915145002-121013,1439953349-0000121013
Component 00000000067253,00003-00004-00004-67253,00003-00002-00008-29843,258513686-067253,2018154698-067253,1630312063-0067253,1849240535-067253,1640970063-00067253,969420029-067253,1084846169-0000067253
Component 00000000075102,00002-00006-00001-75102,00004-00006-00010-2519,1675320066-075102,1702053397-075102,1728786728-0075102,1898144796-075102,1764478141-00075102,811036307-075102,2120992278-0000075102
Component 00000000071412,00002-00005-00003-71412,00002-00002-00002-22752,1387813941-071412,1948214155-071412,361130722-0071412,649936909-071412,2142903133-00071412,369736802-071412,789950756-0000071412
Component 00000000092200,00003-00004-92200,00001-00002-00008-110651,1991722924-092200,893976691-092200,1943714105-0092200,1364379975-092200,410660199-00092200,839511268-092200,2146551082-0000092200
Component 00000000020506,00001-00003-00005-20506,00001-00009-79920,1736031202-020506,1544997545-020506,1353963888-0020506,2134575249-020506,942259887-00020506,1156350254-020506,756340016-0000020506
Component 00000000104825,00006-104825,00011-93520,838400615-104825,1800220004-104825,614555746-0104825,1315742571-104825,801612920-00104825,1908574700-104825,2087567958-0000104825
Component 00000000002290,00001-00002-2290,00001-00001-00004-64016,858065072-002290,517429144-002290,176793216-0002290,1517091740-002290,1072787733-00002290,1687409704-002290,374439214-0000002290
Component 00000000052948,00003-00012-52948,00002-123515,1968144806-052948,272908831-052948,725156503-0052948,279836781-052948,166082068-00052948,53712945-052948,763510302-0000052948
Component 00000000069714,00004-00001-00008-69714,00004-00006-00008-98769,749903160-069714,2057635812-069714,1217884817-0069714,1897911019-069714,1801698700-00069714,1244044693-069714,1403470979-0000069714
Component 00000000014805,00011-14805,00003-00003-43813,192874993-014805,1037244847-014805,1881614701-0014805,342623619-014805,415741643-00014805,2067922339-014805,408858864-0000014805
Component 00000000097300,00008-97300,00001-00005-00008-6326,983901719-097300,1369534600-097300,1755167481-0097300,1433485448-097300,1652804690-00097300,166927184-097300,1184346968-0000097300
Component 00000000069433,00003-69433,00004-90909,846675960-069433,1385041922-069433,1923407884-0069433,1187621353-069433,643275190-00069433,918438372-069433,1356842385-0000069433
Component 00000000101209,00004-00003-00004-101209,00001-00005-00011-115841,2061468922-101209,172777965-101209,431570655-0101209,1728012505-101209,434049055-00101209,1598616160-101209,1625457232-0000101209
Component 00000000110673,00003-00003-00004-110673,00001-00012-10165,379103503-110673,893701727-110673,1408299951-0110673,1714797250-110673,1289289777-00110673,1457498138-110673,2015453890-0000110673
Component 00000000041283,00003-00004-00008-41283,00002-00001-43967,2094723644-041283,304226469-041283,661212941-0041283,81214713-041283,443766000-00041283,2050205124-041283,747521740-0000041283
Component 00000000073439,00004-00002-00002-73439,00012-79520,163989297-073439,386699441-073439,609409585-0073439,228013046-073439,1261945973-00073439,116657974-073439,53981348-0000073439
Component 00000000114346,00001-00001-00011-114346,00005-00002-112985,1586322026-114346,1652555507-114346,1718788988-0114346,1577420384-114346,1246252979-00114346,470561820-114346,1816922620-0000114346
Component 00000000117615,00001-00004-117615,00003-00003-00003-80993,1284425468-117615,1391338001-117615,1498250534-0117615,1100974201-117615,566411536-00117615,2121259758-117615,1091824400-0000117615
Component 00000000114928,00003-00002-00008-114928,00002-00007-5805,273425688-114928,1915300386-114928,1409691437-0114928,447453602-114928,828014700-00114928,1773999900-114928,1766567924-0000114928
Component 00000000072111,00001-00004-72111,00006-00003-42370,38355805-072111,1409583789-072111,633328126-0072111,2118403619-072111,1704714640-00072111,1432789627-072111,1310644861-0000072111
Component 00000000116107,00002-00005-00004-116107,00003-00005-00012-38778,1640504975-116107,1266187503-116107,891870031-0116107,665976759-116107,390080472-00116107,853135495-116107,808938525-0000116107
Component 00000000114084,00004-00005-00009-114084,00004-00002-00006-105709,1587841465-114084,78236187-114084,716114556-0114084,1386429480-114084,344521282-00114084,2141232119-114084,2111196545-0000114084
Component 00000000032139,00004-00002-00003-32139,00002-00004-00010-35032,2138978907-032139,2136256147-032139,2133533387-0032139,2006925047-032139,2020538847-00032139,2008286427-032139,2073045747-0000032139
Component 00000000072398,00003-00004-00001-72398,00001-00001-00003-99856,551086307-072398,668689175-072398,786292043-0072398,1959858111-072398,1371843771-00072398,1901056677-072398,1971929642-0000072398
Component 00000000089044,00004-00004-00007-89044,00001-00001-00005-22261,2002411873-089044,1768570539-089044,1534729205-0089044,1398525409-089044,420248432-00089044,1515446076-089044,118613030-0000089044
Component 00000000120799,00004-00003-120799,00001-00005-00010-46576,1784109138-120799,1640319003-120799,1496528868-0120799,178996708-120799,897947383-00120799,1324633599-120799,532827781-0000120799
Component 00000000031499,00004-00006-31499,00003-00004-17073,185353759-031499,1254167059-031499,175496712-0031499,483191281-031499,1581575722-00031499,2096268278-031499,358983145-0000031499
Component 00000000074006,00001-00002-00010-74006,00003-00004-00012-95393,947324906-074006,518321439-074006,89317972-0074006,541751403-074006,539285091-00074006,1829994960-074006,453961446-0000074006
Component 00000000045640,00010-45640,00001-00002-00008-42401,1926935817-045640,1255205503-045640,583475189-0045640,1560270293-045640,623954569-00045640,1896135450-045640,1905030406-0000045640
Component 00000000109248,00003-00006-00009-109248,00001-00005-00005-93826,23217564-109248,808056818-109248,1592896072-0109248,1580699384-109248,1951470408-00109248,1188279757-109248,690773176-0000109248
Component 00000000002710,00001-00006-2710,00002-00002-75805,69797848-002710,52402133-002710,35006418-0002710,299847494-002710,386826069-00002710,1382287175-002710,60008079-0000002710
Component 00000000026927,00002-00005-00004-26927,00005-00012-37140,1500707647-026927,311732036-026927,1270240072-0026927,743707159-026927,246134273-00026927,264453141-026927,147028774-0000026927
Component 00000000005284,00004-00006-00006-5284,00003-00002-00012-24348,1204086050-005284,408655106-005284,1760707809-0005284,1280390912-005284,962578338-00005284,1678106384-005284,2032320694-0000005284
Component 00000000042803,00003-00005-00007-42803,00001-00001-00006-86521,1186111875-042803,1966285837-042803,598976152-0042803,369843386-042803,763940870-00042803,2127240052-042803,1723374628-0000042803
Component 00000000017757,00002-00005-00012-17757,00003-00012-2950,12559657-017757,1612604956-017757,1065166608-0017757,1379087190-017757,1968795283-00017757,1652806364-017757,1238557591-0000017757
Component 00000000080393,00003-00005-00001-80393,00002-00001-00007-27112,2036799336-080393,1948871279-080393,1860943222-0080393,993514042-080393,1433154327-00080393,2111219894-080393,806865814-0000080393
Component 00000000113578,00003-00003-00010-113578,00006-00012-59240,1184543413-113578,814453381-113578,444363349-0113578,415046037-113578,118012550-00113578,600091053-113578,1596902395-0000113578
Component 00000000005594,00004-00001-00004-5594,00005-00007-32975,928474330-005594,1379447830-005594,1830421330-0005594,1325852610-005594,1218468757-00005594,1100365860-005594,850945926-0000005594
Component 00000000121252,00002-00005-00001-121252,00001-00003-00006-59286,563247631-121252,585485167-121252,607722703-0121252,1641768127-121252,1530580447-00121252,1630649359-121252,544183108-0000121252
Component 00000000075355,00007-75355,00001-00004-9611,1634880524-075355,2019628111-075355,256892051-0075355,2041527494-075355,117789559-00075355,775411877-075355,1158717498-0000075355
Component 00000000048248,00003-00004-00005-48248,00001-00004-00001-115441,2054985111-048248,642042691-048248,1376583918-0048248,99270798-048248,721531957-00048248,805742008-048248,776750469-0000048248
Component 00000000062329,00004-00001-00007-62329,00002-00004-00002-15537,660531091-062329,1823270747-062329,838526756-0062329,1218829585-062329,1847582246-00062329,637459757-062329,613364114-0000062329
Component 00000000063524,00004-00006-00006-63524,1436259974,1537040495-063524,1776965926-063524,2016891357-0063524,1362263840-063524,162636685-00063524,168559301-063524,1733616365-0000063524
Component 00000000031908,00003-00002-00006-31908,00004-00006-00002-28524,963630510-031908,1841958068-031908,572801979-0031908,612844133-031908,516173637-00031908,173680354-031908,376439196-0000031908
Component 00000000033015,00003-00008-33015,00002-00004-00005-59532,1846135399-033015,1652365114-033015,1458594829-0033015,2111952988-033015,933320766-00033015,1135096307-033015,2039153001-0000033015
Component 00000000034547,00002-00002-00006-34547,00003-00006-00009-102423,2126111207-034547,501122036-034547,1023616512-0034547,1697289529-034547,1232300796-00034547,1436042291-034547,2064005515-0000034547
Component 00000000038746,00001-00001-00006-38746,00002-00007-96467,906957600-038746,1978909765-038746,903378283-0038746,283288251-038746,1365978367-00038746,821053992-038746,2051441683-0000038746
Component 00000000022236,00001-00004-00006-22236,00001-00001-00003-4761,1730026759-022236,1937771702-022236,2145516645-0022236,2141980083-022236,1103255368-00022236,964365788-022236,1552260726-0000022236
Component 00000000062693,00003-00001-00007-62693,00005-00003-25730,1417613853-062693,34251634-062693,798373062-0062693,1970281112-062693,297157619-00062693,1588220398-062693,1034845029-0000062693
Component 00000000066524,00004-00003-00003-66524,00004-00004-00012-9489,859999452-066524,1985940999-066524,964398899-0066524,707331483-066524,1520074689-00066524,1218102533-066524,578872033-0000066524
Component 00000000050903,00003-00006-00008-50903,00001-00001-00008-66256,223298076-050903,1112760891-050903,2002223706-0050903,1486313487-050903,1333966706-00050903,2115323903-050903,1320551534-0000050903
Component 00000000083871,00001-00004-00008-83871,00005-00010-985,1883228245-083871,829845769-083871,1923946940-0083871,186302040-083871,1158247126-00083871,712993278-083871,1998241358-0000083871
Component 00000000087314,00004-00003-00006-87314,00001-00011-97420,238377998-087314,43131065-087314,1995367779-0087314,432578159-087314,1408812824-00087314,1603943449-087314,1586630045-0000087314
Component 00000000122486,00001-122486,00003-00002-00011-93858,966496401-122486,286890738-122486,1754768722-0122486,1291618274-122486,394679295-00122486,557679282-122486,924720826-0000122486
Component 00000000038271,00001-00002-00012-38271,00004-83174,704001356-038271,1679124472-038271,506763941-0038271,752832248-038271,172183962-00038271,265270690-038271,1602456742-0000038271
Component 00000000096978,00003-00011-96978,00006-00001-120875,3016295-096978,1455586106-096978,760672270-0096978,659433601-096978,1986519134-00096978,1006890519-096978,1483809520-0000096978
Component 00000000049613,00003-00004-00005-49613,00001-30121,1779237178-049613,1814149754-049613,1849062330-0049613,1325013467-049613,1150450587-00049613,1307557179-049613,763863528-0000049613
Component 00000000113379,00004-00006-113379,00001-00004-00006-85936,1666158434-113379,188704591-113379,858734395-0113379,1950349223-113379,747683850-00113379,1615334321-113379,520031101-0000113379
Component 00000000093324,00004-00010-93324,00001-00006-00001-24051,1693950081-093324,2026094549-093324,210755370-0093324,623087603-093324,1109848910-00093324,457015369-093324,315773631-0000093324
Component 00000000034120,00002-00008-34120,00005-90480,873239017-034120,1390503501-034120,1907767985-0034120,190762727-034120,1899407601-00034120,2079614132-034120,1473675098-0000034120
Component 00000000074311,00001-00006-00003-74311,00003-00004-00002-103898,1225699499-074311,1839842298-074311,306501450-0074311,2020596016-074311,1097365668-00074311,639782793-074311,571958013-0000074311
Component 00000000062477,00002-00002-00012-62477,00001-00004-00012-19681,721743198-062477,1488103997-062477,106981149-0062477,309278127-062477,772441426-00062477,999839551-062477,626157077-0000062477
Component 00000000009376,00001-00003-00003-9376,00004-00005-00005-15384,358834276-009376,2044751232-009376,1583184541-0009376,521428056-009376,681777864-00009376,1825953225-009376,1791819834-0000009376
