Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000054751,00001-00004-00008-54751,00004-50414,1245449705-054751,1144482930-054751,1043516155-0054751,1717270235-054751,74620463-00054751,694011799-054751,680591652-0000054751
Component 00000000043171,00001-00002-00011-43171,00002-00007-96805,352916124-043171,337895123-043171,322874122-0043171,698139399-043171,773244404-00043171,1779391723-043171,257400609-0000043171
Component 00000000039485,00005-00004-39485,00004-00006-00002-54459,999068406-039485,1646791175-039485,147030297-0039485,1275109821-039485,183979623-00039485,2024990260-039485,2124503750-0000039485
Component 00000000005665,00002-00010-5665,00002-00002-00006-35002,1575696610-005665,1753117196-005665,1930537782-0005665,1590660443-005665,703557513-00005665,1501950150-005665,1979124014-0000005665
Component 00000000119151,00001-00004-00006-119151,00003-00003-00012-493,1429235863-119151,1055810281-119151,682384699-0119151,497964312-119151,217608575-00119151,684677103-119151,719213087-0000119151
Component 00000000120451,00001-00002-00006-120451,00004-00005-00006-36874,1227377857-120451,170625642-120451,1261357074-0120451,440761134-120451,1429554915-00120451,2042879065-120451,664711049-0000120451
Component 00000000111589,00004-00002-00010-111589,00002-00006-00004-35832,812142942-111589,926444351-111589,1040745760-0111589,987052161-111589,415545116-00111589,2003643280-111589,2018768630-0000111589
Component 00000000084181,00001-00006-00006-84181,00004-00002-00006-9704,1779528463-084181,1349580610-084181,919632757-0084181,1328152239-084181,1330407857-00084181,469384342-084181,623111381-0000084181
Component 00000000119028,00003-119028,00003-00006-120568,2055541337-119028,123482902-119028,338908114-0119028,1766245884-119028,689119824-00119028,1658533278-119028,1371107168-0000119028
Component 00000000094654,00004-00001-94654,00003-00009-55818,1010120677-094654,1865314864-094654,573025404-0094654,611107630-094654,630103989-00094654,1257252360-094654,479549065-0000094654
Component 00000000031702,00002-00006-00008-31702,00003-00005-00007-22783,1960798522-031702,1398878931-031702,836959340-0031702,1551243946-031702,65874607-00031702,758461918-031702,1792117797-0000031702
Component 00000000009416,00001-00001-00004-9416,00003-00001-16458,2120352561-009416,1930307546-009416,1740262531-0009416,419362098-009416,1369587173-00009416,1588126429-009416,1052635810-0000009416
Component 00000000090479,00004-00004-00012-90479,00005-00002-62480,1030355425-090479,1735625238-090479,293411404-0090479,1949944827-090479,571079409-00090479,523568097-090479,416861303-0000090479
Component 00000000100995,00006-00011-100995,00003-00012-109823,479233940-100995,1355325934-100995,83934281-0100995,20022709-100995,2082013680-00100995,1729460359-100995,1657600579-0000100995
Component 00000000111677,00002-00006-00007-111677,00002-00002-00011-38257,1262123536-111677,1363815608-111677,1465507680-0111677,1899221734-111677,1390761374-00111677,1848375698-111677,1769017644-0000111677
Component 00000000017754,00004-00002-00009-17754,00002-00001-00010-2857,471963717-017754,1023608554-017754,1575253391-0017754,383192724-017754,1919935833-00017754,1181112129-017754,1950495543-0000017754
Component 00000000067074,00004-00007-67074,00006-00001-24870,1671117856-067074,1961742850-067074,104884197-0067074,734044536-067074,1428403213-00067074,588732039-067074,1522145025-0000067074
Component 00000000016149,00004-00003-16149,00005-00001-81485,991833250-016149,275158981-016149,1705968359-0016149,1666611379-016149,955015430-00016149,951206690-016149,1000299164-0000016149
Component 00000000053554,00004-00004-00007-53554,00004-00006-16919,1954579190-053554,1856811682-053554,1759044174-0053554,1507822346-053554,1996659886-00053554,1556706100-053554,522311734-0000053554
Component 00000000080691,00001-00002-80691,00003-00001-00012-35463,159695805-080691,1227100411-080691,147021370-0080691,389211668-080691,1494639579-00080691,2002993012-080691,1543837850-0000080691
Component 00000000000217,00002-00009-217,00004-00004-00009-5989,623038063-000217,594063567-000217,565089071-0000217,1365258654-000217,1510131134-00000217,1379745902-000217,726809354-0000000217
Component 00000000028125,00006-00006-28125,00002-00005-38792,532352003-028125,372860936-028125,213369869-0028125,313228018-028125,1110683353-00028125,1466715375-028125,962598247-0000028125
Component 00000000118529,00004-00005-00008-118529,00004-00003-00012-106599,946574979-118529,462612753-118529,2126134174-0118529,1096727135-118529,1369054618-00118529,1338708248-118529,1385873861-0000118529
Component 00000000042237,00002-00006-42237,00002-00005-00009-70677,2086839814-042237,415387797-042237,891419427-0042237,1552053752-042237,1319379249-00042237,1314037937-042237,408335000-0000042237
Component 00000000070360,00003-00004-70360,00002-00006-00004-116822,1047915541-070360,1599853957-070360,4308726-0070360,2047124953-070360,1434916520-00070360,1771155745-070360,814913418-0000070360
Component 00000000106912,00002-00001-106912,00001-00002-00009-28401,679317728-106912,335210915-106912,2138587749-0106912,96264650-106912,1816798715-00106912,1342059880-106912,562914037-0000106912
Component 00000000065963,00003-00002-00001-65963,00003-00005-00010-117283,190988303-065963,761483176-065963,1331978049-0065963,1016444056-065963,311453338-00065963,1804938443-065963,1039102492-0000065963
Component 00000000081161,00001-00003-00002-81161,00003-00004-48633,880515480-081161,292599497-081161,1852167161-0081161,1357619539-081161,2232160-00081161,577835707-081161,1781652915-0000081161
Component 00000000058638,00003-00006-00008-58638,00004-00004-00002-35739,1082666399-058638,933112625-058638,783558851-0058638,271759301-058638,1019528171-00058638,346536188-058638,1184097006-0000058638
Component 00000000024518,00003-00004-24518,00003-00001-00008-68713,135479673-024518,848840980-024518,1562202287-0024518,1447506534-024518,28183646-00024518,17084057-024518,1635798338-0000024518
Component 00000000016656,00001-00003-00003-16656,00003-00004-00010-95638,668264074-016656,18129660-016656,1515478893-0016656,1348999700-016656,304704476-00016656,1674066907-016656,1725454727-0000016656
Component 00000000024738,00003-00012-24738,00004-00005-00004-74884,1536584890-024738,1204892055-024738,873199220-0024738,1555609745-024738,1066590273-00024738,647714339-024738,229583576-0000024738
Component 00000000101919,00004-00006-00012-101919,00004-00005-12129,386736500-101919,1396029165-101919,257838183-0101919,1019048695-101919,267552664-00101919,1588144186-101919,1500078487-0000101919
Component 00000000098218,00003-00001-00003-98218,00002-00010-32055,2141114583-098218,1289628757-098218,438142931-0098218,1646241315-098218,1608703151-00098218,2071984228-098218,146262611-0000098218
Component 00000000069147,00002-00001-69147,00001-00004-82866,701411030-069147,381775658-069147,62140286-0069147,231481017-069147,1829657877-00069147,391298703-069147,227636227-0000069147
Component 00000000072807,00002-00007-72807,00004-00006-00011-61774,1058108130-072807,1946617521-072807,687643265-0072807,127398830-072807,2127302816-00072807,756885958-072807,478494744-0000072807
Component 00000000110572,00002-00007-110572,00004-00001-00003-7309,1013006898-110572,142174169-110572,1418825087-0110572,653550658-110572,712747009-00110572,15225199-110572,1860277334-0000110572
Component 00000000031703,00003-00009-31703,00003-00011-22813,71843156-031703,1166280514-031703,113234225-0031703,1612447491-031703,435227995-00031703,1065228812-031703,1760692600-0000031703
Component 00000000105857,00002-00003-00011-105857,00002-00005-00008-122442,286876039-105857,609966112-105857,933056185-0105857,1998100874-105857,382650509-00105857,762814014-105857,471277371-0000105857
Component 00000000045750,00005-00003-45750,00001-00004-00006-45441,1228774227-045750,145329121-045750,1209367662-0045750,221294114-045750,1343552350-00045750,763016667-045750,1529042071-0000045750
Component 00000000090766,00001-00004-90766,00004-00004-00008-70494,1111609890-090766,588011203-090766,64412516-0090766,413135511-090766,883645299-00090766,1748676678-090766,162722357-0000090766
Component 00000000062141,00001-00002-00001-62141,00002-00002-10257,1807330009-062141,1683121480-062141,1558912951-0062141,1151925470-062141,1772968115-00062141,140287911-062141,396921036-0000062141
Component 00000000106533,00003-00011-106533,00004-00004-17840,838769692-106533,978822960-106533,1118876228-0106533,1188902249-106533,488635909-00106533,1118875615-106533,542550373-0000106533
Component 00000000119815,00003-00007-119815,00003-00010-19068,1438641294-119815,1631730866-119815,1824820438-0119815,66067301-119815,1248103088-00119815,2117006162-119815,1239866379-0000119815
Component 00000000064348,00003-00004-00011-64348,00004-00005-72090,1496410963-064348,629673530-064348,1910419744-0064348,1335576579-064348,1374296450-00064348,695203472-064348,601294699-0000064348
Component 00000000094039,00004-00001-00010-94039,00001-00003-38626,2136562210-094039,1192635656-094039,248709102-0094039,1453280928-094039,1877946404-00094039,1925244205-094039,714977765-0000094039
Component 00000000040722,00002-00003-00006-40722,00003-00003-00012-28248,1141059647-040722,1316649265-040722,1492238883-0040722,1067221532-040722,189273442-00040722,979426723-040722,805479866-0000040722
Component 00000000074122,00002-00006-00009-74122,00001-00011-98616,2132927376-074122,1689639077-074122,1246350778-0074122,1034539521-074122,1103497369-00074122,182441847-074122,804297911-0000074122
Component 00000000101591,00001-00009-101591,00001-00001-00008-3011,1065950912-101591,647503467-101591,229056022-0101591,1172344476-101591,1117098054-00101591,307826375-101591,304594843-0000101591
Component 00000000099703,00003-00002-00006-99703,00006-00006-73625,297780156-099703,1010588209-099703,1723396262-0099703,1582974198-099703,166417580-00099703,152828348-099703,427668725-0000099703
Component 00000000109023,00003-00005-00005-109023,00003-00005-00004-87533,1482159300-109023,83735269-109023,832794885-0109023,1304328677-109023,1853997891-00109023,929798869-109023,521864749-0000109023
Component 00000000058195,00004-00007-58195,00002-00009-23305,838902357-058195,1229569034-058195,1620235711-0058195,1532625192-058195,1726775454-00058195,263550030-058195,837554862-0000058195
Component 00000000062841,00001-00002-00012-62841,00001-00002-00006-29906,795485358-062841,1923294010-062841,903619015-0062841,1807113805-062841,463037839-00062841,1243209479-062841,2141072171-0000062841
Component 00000000061979,00004-00001-00008-61979,00001-00006-00004-5711,1475336287-061979,1646761876-061979,1818187465-0061979,125800942-061979,1416156644-00061979,1113829971-061979,389083543-0000061979
Component 00000000060682,00002-00006-00011-60682,00003-00001-00005-92968,1614478235-060682,428433490-060682,1389872392-0060682,999624748-060682,487397532-00060682,518905297-060682,194030610-0000060682
Component 00000000033748,00003-00001-33748,00002-00006-00005-80072,1792609753-033748,961980418-033748,131351083-0033748,1235534475-033748,1093713856-00033748,577107319-033748,326502425-0000033748
Component 00000000005647,00002-00005-00005-5647,00008-34510,255003454-005647,191151602-005647,127299750-0005647,1453155926-005647,1772415186-00005647,1485081852-005647,2035913502-0000005647
Component 00000000046307,00002-00002-00001-46307,00003-00007-61068,462443513-046307,1651063969-046307,692200778-0046307,128477160-046307,627825821-00046307,1681650579-046307,404649210-0000046307
Component 00000000049316,00001-00001-00007-49316,00008-21770,777943645-049316,1876893566-049316,828359840-0049316,1463665462-049316,263883151-00049316,1987932325-049316,620588643-0000049316
Component 00000000018770,00003-00011-18770,00002-00004-00009-31287,1595358996-018770,943978872-018770,292598748-0018770,68194040-018770,1177611013-00018770,393884102-018770,1710754891-0000018770
Component 00000000030538,00003-00004-00001-30538,00002-00011-113722,211862281-030538,247620400-030538,283378519-0030538,872389229-030538,693598634-00030538,1928251993-030538,1324349268-0000030538
Component 00000000114840,00005-00011-114840,00003-00003-3318,14405466-114840,1854555838-114840,1547222563-0114840,1214868981-114840,604051709-00114840,294793795-114840,946520700-0000114840
Component 00000000121648,00003-00002-00007-121648,00001-00002-00006-70401,1847705412-121648,470610246-121648,1240998727-0121648,1630582918-121648,2073607807-00121648,171646854-121648,169371873-0000121648
Component 00000000056425,00005-00005-56425,00002-00004-00005-97297,1442525879-056425,210860492-056425,1126678752-0056425,762554902-056425,478430896-00056425,304645772-056425,1530458696-0000056425
Component 00000000083527,00002-00003-00002-83527,00003-00004-00007-114888,626823585-083527,1019504025-083527,1412184465-0083527,344472102-083527,528553549-00083527,148131882-083527,1831223372-0000083527
Component 00000000028934,00004-00003-00009-28934,00004-00001-00008-68804,807590457-028934,548414501-028934,289238545-0028934,1122458473-028934,270854606-00028934,1252046451-028934,430178134-0000028934
Component 00000000028712,00002-00005-00008-28712,00002-00006-00003-62572,971258723-028712,43436444-028712,1263097812-0028712,2142776602-028712,339437056-00028712,1532945918-028712,1923520782-0000028712
Component 00000000057012,00002-00004-00007-57012,00002-00002-00002-113752,517917115-057012,442777866-057012,367638617-0057012,94889009-057012,470585254-00057012,1206200457-057012,323952744-0000057012
Component 00000000004839,00004-00002-00003-4839,00004-00005-00002-11884,1718110121-004839,1760595527-004839,1803080933-0004839,1631168665-004839,1418741635-00004839,1609925962-004839,67461414-0000004839
Component 00000000090241,00001-00004-00008-90241,00003-00009-55818,1837913717-090241,1102601331-090241,367288945-0090241,535001348-090241,2064079631-00090241,902657541-090241,939390325-0000090241
